iter	MultiClass
0	1.989525504
1	1.794548604
2	1.655073364
3	1.548675883
4	1.464523022
5	1.396206916
6	1.339619526
7	1.292314793
8	1.252359297
9	1.21808809
10	1.188559162
11	1.163055269
12	1.141025635
13	1.121585103
14	1.104644544
15	1.089903241
16	1.07691234
17	1.065512987
18	1.055398877
19	1.046398762
20	1.038437448
21	1.03139532
22	1.025055471
23	1.019482436
24	1.014522522
25	1.010159273
26	1.006155378
27	1.002535199
28	0.9993637068
29	0.9964641759
30	0.9937524374
31	0.9915055941
32	0.9893902731
33	0.9875578455
34	0.9858106049
35	0.9843200771
36	0.9827477926
37	0.9814307568
38	0.9802186348
39	0.9791167833
40	0.9780365583
41	0.9772306145
42	0.9763377546
43	0.975500032
44	0.9748437207
45	0.9742707935
46	0.9734067563
47	0.97264605
48	0.9719794838
49	0.9714725595
50	0.9710675161
51	0.9707262636
52	0.9703305058
53	0.9698465018
54	0.969487615
55	0.9689516725
56	0.9685562655
57	0.9680611359
58	0.9677520443
59	0.9674549832
60	0.9670478097
61	0.9666666116
62	0.9662525219
63	0.9660021184
64	0.9657122998
65	0.9654967831
66	0.9650163546
67	0.9644914028
68	0.9640682968
69	0.9638225795
70	0.9633309212
71	0.9630568112
72	0.9627169257
73	0.9623457199
74	0.9618739213
75	0.9615626535
76	0.9612680501
77	0.9609395087
78	0.960736778
79	0.9601921928
80	0.9600112293
81	0.9597262968
82	0.959511985
83	0.959157075
84	0.9588448206
85	0.9586241169
86	0.9584280761
87	0.9579779489
88	0.9577409415
89	0.957510336
90	0.9572897546
91	0.956996497
92	0.9566955658
93	0.956462651
94	0.9562145392
95	0.9558131514
96	0.9555911977
97	0.9553733514
98	0.9551643846
99	0.9548849309
100	0.9545220314
101	0.9542270761
102	0.9536513376
103	0.9534093096
104	0.9532175361
105	0.9526288626
106	0.9524023568
107	0.9521617395
108	0.9517394538
109	0.9515359976
110	0.9512642009
111	0.9509306405
112	0.9504440958
113	0.9501031715
114	0.9498292527
115	0.9495561749
116	0.9493986893
117	0.9490859963
118	0.9486789933
119	0.9484945051
120	0.9481805092
121	0.9480345922
122	0.9477132048
123	0.9475492403
124	0.9472797951
125	0.9469753181
126	0.9465553351
127	0.9463233522
128	0.9461015946
129	0.9459114931
130	0.9457141736
131	0.9454997384
132	0.9452542949
133	0.9449210439
134	0.9445069588
135	0.9442749516
136	0.9439873597
137	0.9437145875
138	0.9435024423
139	0.9432435597
140	0.9428284508
141	0.9425890432
142	0.9422010589
143	0.9419335673
144	0.9415755636
145	0.9414125025
146	0.9411912674
147	0.9410524881
148	0.9406925156
149	0.9404998881
150	0.9402693056
151	0.9399565366
152	0.9397746467
153	0.9395835992
154	0.9394248723
155	0.9391212948
156	0.9388780222
157	0.9385918503
158	0.9383106316
159	0.9380392813
160	0.9378370639
161	0.9375657758
162	0.9372757502
163	0.9369668685
164	0.9366685675
165	0.9364976353
166	0.9363480515
167	0.9361989966
168	0.9360009182
169	0.9357623017
170	0.9355198712
171	0.9353321969
172	0.9350697661
173	0.9347866659
174	0.9344027668
175	0.9341937034
176	0.9339089388
177	0.9337173207
178	0.9333409123
179	0.933164571
180	0.932994983
181	0.9326777163
182	0.9323865016
183	0.9321780766
184	0.9318597412
185	0.9316591647
186	0.9314203679
187	0.9311036959
188	0.9308214091
189	0.930677628
190	0.9304033973
191	0.9301080309
192	0.9298781983
193	0.9295697569
194	0.9292147009
195	0.9290250089
196	0.9287083654
197	0.9285200461
198	0.928408808
199	0.9281876224
