iter	Passed	Remaining
0	13	2609
1	26	2577
2	39	2562
3	50	2483
4	62	2430
5	73	2388
6	85	2364
7	94	2272
8	106	2268
9	118	2249
10	130	2237
11	144	2265
12	156	2254
13	171	2281
14	182	2256
15	194	2234
16	207	2229
17	216	2189
18	229	2185
19	242	2183
20	253	2159
21	265	2145
22	280	2159
23	289	2121
24	302	2116
25	314	2106
26	328	2106
27	339	2084
28	351	2073
29	367	2084
30	384	2093
31	396	2079
32	410	2076
33	421	2057
34	432	2038
35	447	2038
36	459	2026
37	472	2015
38	482	1990
39	491	1967
40	502	1949
41	517	1946
42	531	1939
43	546	1939
44	557	1920
45	568	1903
46	578	1883
47	591	1872
48	605	1867
49	616	1848
50	626	1831
51	638	1816
52	647	1795
53	659	1783
54	679	1792
55	692	1780
56	706	1772
57	723	1772
58	738	1765
59	749	1748
60	761	1734
61	772	1720
62	785	1707
63	800	1700
64	812	1688
65	825	1676
66	840	1667
67	854	1659
68	869	1650
69	881	1637
70	894	1624
71	905	1610
72	915	1593
73	928	1581
74	938	1564
75	949	1549
76	957	1530
77	968	1514
78	978	1498
79	989	1483
80	1001	1471
81	1015	1461
82	1033	1457
83	1053	1455
84	1067	1444
85	1077	1428
86	1087	1412
87	1098	1397
88	1107	1380
89	1117	1365
90	1126	1349
91	1136	1333
92	1145	1318
93	1153	1301
94	1164	1286
95	1174	1272
96	1183	1256
97	1192	1241
98	1201	1225
99	1211	1211
100	1228	1204
101	1243	1195
102	1260	1187
103	1281	1183
104	1295	1172
105	1313	1164
106	1328	1154
107	1345	1146
108	1360	1135
109	1378	1127
110	1391	1115
111	1429	1123
112	1486	1144
113	1517	1144
114	1569	1160
115	1598	1157
116	1627	1154
117	1655	1150
118	1684	1146
119	1702	1135
120	1728	1128
121	1751	1120
122	1785	1117
123	1817	1113
124	1835	1101
125	1854	1089
126	1874	1077
127	1889	1062
128	1901	1046
129	1913	1030
130	1922	1012
131	1934	996
132	1945	980
133	1956	963
134	1970	948
135	1983	933
136	1995	917
137	2008	902
138	2021	887
139	2038	873
140	2050	858
141	2062	842
142	2070	825
143	2080	809
144	2092	793
145	2106	779
146	2118	763
147	2129	748
148	2139	732
149	2148	716
150	2158	700
151	2170	685
152	2185	671
153	2198	656
154	2211	641
155	2228	628
156	2242	614
157	2261	601
158	2276	587
159	2288	572
160	2298	556
161	2311	542
162	2323	527
163	2336	512
164	2350	498
165	2363	484
166	2376	469
167	2391	455
168	2407	441
169	2422	427
170	2436	413
171	2447	398
172	2461	384
173	2471	369
174	2483	354
175	2494	340
176	2509	326
177	2521	311
178	2535	297
179	2548	283
180	2561	268
181	2573	254
182	2589	240
183	2606	226
184	2621	212
185	2632	198
186	2648	184
187	2661	169
188	2675	155
189	2685	141
190	2703	127
191	2725	113
192	2741	99
193	2757	85
194	2820	72
195	2843	58
196	2871	43
197	2916	29
198	2966	14
199	2982	0
